track_id_1,track_id_2,rank,distance
7kzKAuUzOITUauHAhoMoxA,4EchqUKQ3qAQuRNKmeIpnf,1,0.1738601858292902
7kzKAuUzOITUauHAhoMoxA,0yqrhHrcWLMjBylHReDN5u,2,0.20275461116700494
7kzKAuUzOITUauHAhoMoxA,3VBvV5wMMgEkrXqILx8JnB,3,0.20275461116700494
7kzKAuUzOITUauHAhoMoxA,3ltkObuXJYfkdcbNQsTvqM,4,0.2047697536095845
7kzKAuUzOITUauHAhoMoxA,4CeeEOM32jQcH3eN9Q2dGj,5,0.2064766911397193
56NkIxSZZiMpFP5ZNSxtnT,4fvKqLGqlsj7giLICaxTXl,1,0.29805656795718866
56NkIxSZZiMpFP5ZNSxtnT,4TC0dnB5DxvoKcsalffFZe,2,0.3186913835189209
56NkIxSZZiMpFP5ZNSxtnT,15IuOb99czEVjmWHXCEGBJ,3,0.33266535524329216
56NkIxSZZiMpFP5ZNSxtnT,4xlEKYv7HmC8zXoJIbpZKM,4,0.34230865173019764
56NkIxSZZiMpFP5ZNSxtnT,7wmIhVA7yo1GqVyvK0TQK3,5,0.3576624858013532
7kzKAuUzOITUauHAhoMoxA,4EchqUKQ3qAQuRNKmeIpnf,1,0.1738601858292902
7kzKAuUzOITUauHAhoMoxA,0yqrhHrcWLMjBylHReDN5u,2,0.20275461116700494
7kzKAuUzOITUauHAhoMoxA,3VBvV5wMMgEkrXqILx8JnB,3,0.20275461116700494
7kzKAuUzOITUauHAhoMoxA,3ltkObuXJYfkdcbNQsTvqM,4,0.2047697536095845
7kzKAuUzOITUauHAhoMoxA,4CeeEOM32jQcH3eN9Q2dGj,5,0.2064766911397193
2pAD0PKMUMtxlMvz33tYzB,5ITw1gs95vZpnZlS0JUwkS,1,0.2630184461753072
2pAD0PKMUMtxlMvz33tYzB,0nIr30RF5GZRmJWp8IBLpC,2,0.2799488532674907
2pAD0PKMUMtxlMvz33tYzB,4p34s1jyWYTFm6nP5pzn36,3,0.28224407718998773
2pAD0PKMUMtxlMvz33tYzB,0zNeZTy7nLEWCRrBgjrBx5,4,0.2912418616494598
2pAD0PKMUMtxlMvz33tYzB,0nK8nFLgGsNtpB6o1I8wt8,5,0.30112358459437905
